25,4,406.47,1010.10,4091.81,1582.72,589.72,909.274400,0.006427
50,4,611.62,3255.60,6683.19,1496.14,605.04,1326.408500,0.009241
75,4,664.07,4456.53,7775.58,1356.56,584.18,1378.318200,0.012035
100,4,715.11,5170.47,8476.58,1335.78,580.92,1389.403100,0.014120
125,4,715.95,5794.36,8981.78,1234.61,571.15,1381.660100,0.016247
150,4,740.63,6262.50,9427.04,1208.53,564.54,1391.462500,0.019408
175,4,741.75,6719.41,9811.90,1140.80,559.61,1392.068000,0.022258
200,4,754.39,7099.12,10161.80,1111.33,553.77,1397.571400,0.024993
225,4,759.10,7383.79,10377.23,1056.05,548.25,1389.140800,0.028195
250,4,748.68,7758.54,10729.75,1019.74,552.80,1398.661400,0.031214
275,4,775.06,8018.40,10988.31,1028.05,548.29,1393.573800,0.038885
300,4,773.28,8259.98,11199.52,998.52,543.17,1397.861500,0.037220
325,4,776.02,8401.53,11334.89,991.87,543.18,1398.312200,0.040217
350,4,777.93,8654.24,11572.49,971.17,546.47,1400.610100,0.042969
375,4,782.81,8735.92,11644.31,971.90,541.78,1394.709000,0.045115
400,4,775.40,8953.67,11839.80,942.78,548.96,1394.391500,0.047857
