25,4,186.61,9399.75,13842.64,597.96,924.06,2920.860000,35.433140
50,4,314.41,16899.10,22961.98,630.56,1150.91,4281.414000,30.563320
75,4,401.59,22298.98,28925.74,659.09,1290.73,4676.932000,31.607620
100,4,461.91,26174.84,33013.88,638.49,1298.64,4901.904000,31.801620
125,4,515.13,29239.71,36228.84,640.55,1333.56,5015.036000,34.930440
150,4,562.17,32182.95,39457.43,638.81,1459.95,5175.728000,28.751720
175,4,587.42,33722.17,40958.83,629.03,1443.08,5164.544000,29.394840
200,4,636.10,36002.78,43406.66,679.83,1480.28,5243.766000,34.100440
225,4,657.21,37772.98,45220.06,632.70,1501.14,5313.238000,33.408980
250,4,694.08,39808.89,47432.43,666.80,1570.11,5386.626000,33.712580
275,4,713.74,41392.31,49068.40,676.65,1580.98,5418.454000,38.880740
300,4,716.68,42855.35,50564.20,643.32,1635.29,5430.232000,52.545400
325,4,761.06,44644.51,52407.85,664.13,1628.97,5470.250000,48.882520
350,4,764.30,45368.87,53029.41,631.30,1566.75,5462.490000,47.292540
375,4,796.22,46841.60,54652.22,598.05,1671.45,5541.114000,44.521040
400,4,807.24,47591.49,55293.02,591.55,1602.89,5507.088000,66.294340
